Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,5,4,1.0,1.6,1.54,1.155,0.677142857142857,0.6341666666666667,0.8788722011064395,0.02090632690455394,-2.86222059899999,F-43m
2,4,5,1.0,1.33,1.6,1.155,0.7466666666666667,0.677142857142857,0.8554636827928122,0.032919954888583576,-2.92802271066666,F-43m
2,9,9,1.0,1.88,2.2,1.155,0.6255555555555555,0.625,0.8920543370022032,0.00027431079399434835,-2.12642163525,P1
2,9,9,1.0,1.88,2.2,1.155,0.6255555555555555,0.625,0.8920543370022032,0.00027431079399434835,-2.09678702925,P1
2,9,9,1.0,1.88,2.28,1.155,0.6255555555555555,0.605,0.896480795461309,0.010199862158963595,-1.9179904905,C2
2,9,6,1.0,1.88,1.7,1.155,0.6255555555555555,0.562,0.9061480398806266,0.031876950496717994,-2.5920701,P1
2,9,6,1.0,1.88,1.7,1.155,0.6255555555555555,0.562,0.9061480398806266,0.031876950496717994,-2.49281580799999,Cm
2,9,6,1.0,1.88,1.7,1.155,0.6255555555555555,0.562,0.9061480398806266,0.031876950496717994,-2.61693393099999,P2_1/c
2,9,6,1.0,2.2,1.66,1.155,0.625,0.521,0.9156907375996642,0.05271160666360288,-2.40174064049999,P2_1/c
2,6,6,1.0,1.7,1.66,1.155,0.562,0.521,0.9305474248125842,0.021117692494917566,-2.768614624,P1
2,6,6,1.0,1.7,1.66,1.155,0.562,0.521,0.9305474248125842,0.021117692494917566,-2.7694489315,P-1
2,6,6,1.0,1.7,1.66,1.155,0.562,0.521,0.9305474248125842,0.021117692494917566,-2.78768432349999,P2_1/c
2,6,6,1.0,1.7,1.66,1.155,0.562,0.521,0.9305474248125842,0.021117692494917566,-2.76834286299999,P1
2,8,9,1.0,1.83,2.2,1.155,0.6216666666666666,0.625,0.8929116105273038,0.0016474464571759292,-2.24188327125,P2_1/c
2,8,6,1.0,1.83,2.16,1.155,0.6216666666666666,0.58,0.9029526823622547,0.020824656382761444,-2.54806293299999,P2_1/c
2,7,8,1.0,1.9,1.83,1.155,0.534,0.6216666666666666,0.9134530169136528,0.044324597601251514,-2.55467773025,P2_1/c
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.65016495749999,P1
